nombre,accuracy,f1,auc,tiempo
Logística,0.9729468768652786,0.10354857475276323,0.9706586894042929,0.9955001000780612
Random Forest,0.9988764439450862,0.7192982456140351,0.9769554892159452,15.005696000065655
XGBoost,0.9995435553526912,0.8645833333333334,0.9727051942048626,3.0313967000693083
